SHIP'S NA,AKA,SHIP'S O,VESSEL TY,YEAR BUIL,WHERE B,DATE LOS,YEAR,MNTH,DAY,LOCATIO,Latitude,Longitude,LATITUDE,LONGITU,CAUSE OF,CONSTRU,FLAG,LENGTH,BEAM,DRAFT,GROSS TO,NET TON,HOME (H,DEPARTU,DESTINAT,MASTER,# CREW,# PASS,LIVES LOS,SHIP VAL,CARGO V,NATURE O,USLSS STA,LOST,PHOTO O,MISC INF,MUSEUM CROSS REFERENCE
74 H,93015,,Scow,,,########,1916,7,28,Sandy Hook SE 5 mi,,,,,Grounded,,,,,,,,,,,,1,,0,,,,USCG #97 & 99,,N,,
A B Crosby,,,Schooner,1884,,3/12/1888,1888,3,12,Atlantic Highlands,,,,,Grounded in snowst,,England,,,,,,Aspinwall,Porto Bell,"New York,",Masters,,,0,,,Coconuts,,N,N,Refloated; Made New York 3/26/1888,
A B Sherman,,,Schooner,1883,,12/8/1886,1886,12,8,Five Fathoms Bank Light,,,,,Storm,Wood,US,154.5,35.5,15.4,612,581,"Taunton,","Boston, M","Baltimore, MD",,,,,,,,,,Y,#106238,
A B Thompson,,,Yacht,,,7/18/1874,1874,7,18,Absecon,39.4284503,-74.4957076,,,Capsized,,US,,,,,,Atlantic Ci,Atlantic Ci,Atlantic Ci,Francis St,1,7,5,,,,,,N,,
A C Austin,,,Schooner,,,2/1868,1868,2,,Sandy Hook Romer Shoal,,,,,Grounded,Wood,US,,,,,,,,,,,,,"$30,000",,Coal,,,N,,
A C Wesc,\,A C Wesc,Deck barge,,,########,1989,10,11,Atlantic Ci,39.3642834,-74.4229266,39-15-540,74-14-691,Opened h,Steel,US,60,25,7,,,NJ AR,AC,9,,,,,,,,,Y,Y,Sponsor A,See scrapbooks 38 - 43 - Purple Misc
A C Wescoat (2006),,,Deck barge,,,########,2006,7,25,Ocean Cit,38.3365032,-75.0849058,39-09-819,74-34-310,Scuttled,Steel,US,60,,,,,NJ AR,OC,85,,,,,,,,,Y,Y,Sponsor -,See scrapbooks 38 - 43 - Purple Misc
A D Scull,,,Schooner,1864,,4/18/1880,1880,4,18,Townsends Inlet,,,,,Grounded,Wood,US,,,,395,375,Great Egg,"Fall River,",New Castl,Frambus,7,0,0,"$8,000","$1,000",Barrels,#34 Town,N,N,#501; Refloated,
A E Douglass,,,Schooner,1855,,6/4/1862,1862,6,4,Barnegat N 8 mi,,,,,Foundere,Wood,US,,,9,,150,Middleto,Philadelp,"Boston, M",Coleman,3,3,5,,,Coal,,,N,,
A F Baillie,,,Schooner,1872,,11/17/187,1875,11,17,"Carters Bar, VA",,,,,Storm,Wood,US,,,,,284,Tuckerton,Baltimore,"Boston, M",Charles H,6,,,"$13,000","$1,400",Coal,,,N,#105159,
A F Crockett,,,Schooner,1881,"Bath, ME",5/21/1894,1894,5,21,Harvey Cedars NE .5 mi,,,,,Stranded,Wood,US,141,31,1,434,412,"Rockland,",Brunswick,"New York,",Thorndike,7,0,0,"$16,000","$7,000",Lumber,Harvey Cedars,,N,#106034; Total loss,
A Field,A D Field,,Schooner,,,2/10/1852,1852,2,10,Deal Beach,,,,,Stranded,,,,,,,,,"Cardenas,","New York, NY",,10,,1,,,,,,N,"aka ""A D Field""",
A G Ropes,,Luckenba,Schooner,1884,"Bath, ME",########,1913,12,26,Island Beach,,,,,Foundere,Wood,US,258.2,44.7,28.4,2438,2328,"New York,",Philadelp,"Providence, RI",,5,,5,"$50,000","$9,800",Coal,,Y,Y,#106318; Total loss,
A H Bowman,,,Steamship,,,12/4/1857,1857,12,4,Deal Lake N .25 mi,,,,,,,US,,,,,,,"Norfolk, V","New York,",Wooden,22,0,0,"$30,000",,Wheat,,,N,,
