id,resourceType,title,description,startDate,endDate,lat,lon,lat/lon,author,Evacuated,Homeless,Injuries,Deaths,Insured Cost,Train(s) damaged,Train(s) destroyed,Home(s) damaged,Home(s) destroyed,Building(s) damaged,Building(s) destroyed,Ind Premises destroyed,Com Premises damaged,Com Premises destroyed,Bridge(s) damaged,Bridge(s) destroyed,Aircraft damaged,Aircraft destroyed,Motor Vehicle(s) damaged,Motor Vehicle(s) destroyed,Water vessel(s) damaged,Water vessel(s) destroyed,Business(es) damaged,Business(es) destroyed,Farm(s) damaged,Farm(s) destroyed,Crop(s) destroyed,Livestock destroyed,Government assistance,regions,subjects,url,resourceUrl
246,Disaster Event,Shipwreck - Casino,"On 10 July 1932, the iron screw steamer Casino capsized and sank in heavy seas a quarter of a mile off Apollo Bay.  Casino was carrying a crew of 17 as well as two passengers. She attempted to berth at the Long Bay Pier at Apollo Bay in a southerly gale when the bottom struck sand opening up her bow. Within two minutes of the order to launch lifeboats the vessel had turned on her side, foundered and sank. In total ten people drowned.",1932-10-07,1932-10-07,-38.7717514,143.7193756,"-38.7717514,143.7193756",,,,,10,,,,,,,,,,,,,,,,,,1,,,,,,,,Victoria,,http://www.emknowledge.gov.au/resource/?id=246,
107,Disaster Event,"Flood - Melbourne, Yarra Valley","Torrential rain began to fall in Central Victoria and Gippsland, with 140 mm falling in Melbourne within the 48 hours ending 1 December. In South Gippsland, east of Melbourne, over 350 mm fell.   Roads were submerged, houses inundated and bridges, train and tram railway lines were washed out. As a result of the storm the Yarra and other Rivers burst their banks, flooding and in some cases isolating towns. The Yarra Valley, Latrobe River District and South Gippsland areas were all flooded.   There was a huge loss of livestock, property and crops. Every suburb of Melbourne suffered damage and winds in the Central Business District reached up to 110 km per hour. As many as 400 houses and buildings were damaged.   There were 36 fatalities in the storms and subsequent floods, 18 of which were drowning, and 6000 people were made homeless. ",1934-11-30,1934-02-12,-37.81361008,144.9630585,"-37.81361008,144.9630585",,,,,36,,,,,400,,,,,,,,,,,,,,,,,,,,,Victoria,,http://www.emknowledge.gov.au/resource/?id=107,
603,Disaster Event,Complex Emergencies - Bondi's Black Sunday,"The 6 February 1938 was a particularly hot day that attracted approximately 35,000 people to Bondi beach, Sydney. The surf was rough, with a record of 74 people pulled from the waves before lunch.  In the early afternoon the temperature was approximately 40 &ordm; C and there were almost 750 bathers in the water. Three 'dumpers' or large waves fell upon the beach, pushing water 30 m up the sand and causing a huge rip as it receded. Many of the swimmers were caught in the rip, unable to return to shore.  There were 60 lifesavers on the beach at the time, and in approximately 20 minutes they rescued 245 people; Australia's largest rescue operation. Medical centres were set up on the sand, and approximately 60 people were rescued from immersion and 35 revived from an unconscious state. However five people died, and the Coroner found the cause to be accidental drowning.",1938-06-02,1938-06-02,-33.89019012,151.274231,"-33.89019012,151.274231",,,,95,5,,,,,,,,,,,,,,,,,,,,,,,,,,New South Wales,,http://www.emknowledge.gov.au/resource/?id=603,
132,Disaster Event,Flood - Burdekin River,"A tropical cyclone that crossed the coast near Townsville brought heavy rain and caused widespread flooding to multiple areas along Queensland's central coast. Towns affected included Townsville, St Lawrence, Bowen, Mt McConnell, Mirani, Home Hill and Ayr.  Infrastructure including roads, bridges and communication equipment, was badly damaged from the torrential rain and subsequent floods. Bowen recorded 356 mm in 18 hours. Three individuals lost their lives from the disaster and the damage bill was estimated around &pound;1,000,000.",1940-07-04,1940-09-04,-20.61478996,146.9641113,"-20.61478996,146.9641113",,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,Queensland,,http://www.emknowledge.gov.au/resource/?id=132,
440,Disaster Event,Shipwreck - HMAS Kuttabul,"HMAS Kuttabul was used as a ferry before the opening of the Sydney Harbour Bridge in March 1932. During the war it was requisitioned by the navy to serve as accommodation for sailors in transit.  On 31 May 1942, 35 sailors from multiple nations were aboard the vessel. At approximately 12:30 am on 1 June a Japanese midget submarine took aim at the destroyer, USS Chicago.&nbsp;Subsequently the torpedo missed its intended target, instead striking HMAS Kuttabul. Ten sailors sustained injuries, 19 Australians and two British sailors were killed.",1942-01-06,1942-01-06,-33.85811996,151.2301178,"-33.85811996,151.2301178",,,,10,21,,,,,,,,,,,,,,,,,,1,,,,,,,,New South Wales,,http://www.emknowledge.gov.au/resource/?id=440,
33,Disaster Event,"Complex Emergencies - Iron Crown, War Time Sinking","On 4 June 1942 the Iron Crown, a steel single screw steamship ore carrier, quickly sank after being struck on the port side by a torpedo from a Japanese submarine, in an act of war. The vessel was located 44 nautical miles off Gabo Island.  Only five crew survived, the remaining 37 died.",1942-04-06,1942-04-06,-37.57271194,149.9047546,"-37.57271194,149.9047546",,,,5,37,,,,,,,,,,,,,,,,,,1,,,,,,,,Victoria,,http://www.emknowledge.gov.au/resource/?id=33,
597,Disaster Event,Shipwreck - Macumba,"The Macumba was a 2526 ton steel single screw steamer, en route to Darwin from Brisbane on 6 August 1943 when&nbsp;it was attacked by a Japanese float plane. The attack sunk the ship, causing the deaths of three people on board and injuring five. The Macumba was in the Arafura Sea, north of Arnhem Land, completing its Thursday Island - Darwin leg of the trip at the time of attack.",1943-06-08,1943-06-08,-8.276726723,136.1425781,"-8.276726723,136.1425781",,,,5,3,,,,,,,,,,,,,,,,,,1,,,,,,,,Northern Territory,,http://www.emknowledge.gov.au/resource/?id=597,
468,Disaster Event,Transport - Wodonga Train and Bus Collision,"On 8 May 1943, a train and a bus collided on a level crossing near Wodonga. In total 25 people died; 24 soldiers and the bus driver.",1943-08-05,1943-08-05,-36.099602,146.825495,"-36.099602,146.825495",,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,Victoria,,http://www.emknowledge.gov.au/resource/?id=468,
423,Disaster Event,Transport - Copley Rail Collision,"On 11 May 1944, a military train was hit from behind by a goods train in Copley, 604 km north of Adelaide. Four servicemen were killed and 27 others were injured; two seriously. The 16 carriage train contained several hundred servicemen aboard had departed Terowie in South Australia's Mid North for an undisclosed northern destination. The locomotive struggled to haul the carriages and laden trucks. It made several attempts to get over Quarry Hill and eventually made it, however it had to stop shortly after due to injector trouble. The guard saw the headlights of the rear approaching train and attempted to halt the train but to no avail. Despite the driver of the goods train applying the brakes the crash occurred impacting most severely on carriages 15 and 16.",1944-11-05,1944-11-05,-30.55324364,138.4249878,"-30.55324364,138.4249878",,,,27,4,,9,,,,,,,,,,,,,,,,,,,,,,,,South Australia,,http://www.emknowledge.gov.au/resource/?id=423,
62,Disaster Event,Industrial - Woodend Mine,"A gas explosion caused the deaths of four workers at the New Ebbw Vale No 3 mine at Woodend, approximately one mile from Ipswich. The explosion was the result of a naked flame exposed to gas and caused debris, concrete and timber to propel more than 200 ft in the air. The explosion caused the mine to collapse, entombing the men, although it is thought they were killed immediately by the impact. This was the first fatality at the New Ebbw Vale No 3 mine after eleven years of production.",1945-01-02,1945-01-02,-27.60289574,152.7519379,"-27.60289574,152.7519379",,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,Queensland,,http://www.emknowledge.gov.au/resource/?id=62,
